city,n_checkins_raw,n_users_raw,n_venues_raw,TT_share,macro_entropy,est_users_post_kcore,population_M,span_months,span_first,span_last
New York,600148,17435,69822,0.1414,0.9049,7146,20.1,18,2012-04,2013-09
Tokyo,1314130,12771,106237,0.4495,0.7496,9588,37.4,18,2012-04,2013-09
Istanbul,2984594,40912,146415,0.0603,0.9484,30452,15.5,18,2012-04,2013-09
Sao Paulo,809200,11856,78906,0.1502,0.9057,6686,22.0,18,2012-04,2013-09
Moscow,950898,10501,93599,0.1061,0.9403,7700,12.5,18,2012-04,2013-09
Bangkok,1075954,11525,109968,0.1031,0.8836,7985,10.7,18,2012-04,2013-09
Kuala Lumpur,1604623,17330,139645,0.0549,0.8836,13113,8.0,18,2012-04,2013-09
Jakarta,1076960,15823,141228,0.0765,0.882,10321,33.4,18,2012-04,2013-09
London,188530,9724,28687,0.2356,0.9112,3175,14.3,18,2012-04,2013-09
Paris,111325,6903,19837,0.2129,0.9256,1462,11.0,18,2012-04,2013-09
Mexico City,858741,10329,77167,0.0779,0.9132,7306,22.0,18,2012-04,2013-09
Seoul,213358,3327,46576,0.1933,0.8852,1803,25.6,18,2012-04,2013-09
Los Angeles,185061,9136,25889,0.1251,0.8926,2475,13.2,18,2012-04,2013-09
Chicago,184873,6885,21949,0.112,0.9036,2057,8.9,18,2012-04,2013-09
Singapore,689227,12246,66809,0.151,0.8927,5418,5.9,18,2012-04,2013-09
