Measures,Values
Recall@1,0.007321494086768268
NDCG@1,0.0464023608899934
Recall@5,0.025662157211716188
NDCG@5,0.04005786776662096
Recall@10,0.04165819481234755
NDCG@10,0.042895398484174146
Recall@20,0.06536306396144821
NDCG@20,0.05059986965188136
Recall@40,0.09992963532823462
NDCG@40,0.062023418474453945
Recall@50,0.11405217773944654
NDCG@50,0.06642900968405346
Recall@100,0.16611034704097674
NDCG@100,0.08163395949360365
trainingTime,288.8936276435852
testingTime,40.40696859359741
AverageTestTimePerUser,0.0005230066217993685
