Measures,Values
Recall@1,0.027300407658301593
NDCG@1,0.070408536904326
Recall@5,0.07675492639456186
NDCG@5,0.07192881390496536
Recall@10,0.11258263870379315
NDCG@10,0.08302202049116275
Recall@20,0.16373528928779044
NDCG@20,0.09823646604103407
Recall@40,0.22951138489269357
NDCG@40,0.11533245502980106
Recall@50,0.254102083225084
NDCG@50,0.12113400803749387
Recall@100,0.3403040563346037
NDCG@100,0.1396235503016356
trainingTime,134.78526616096497
testingTime,19.050001859664917
AverageTestTimePerUser,0.0004982476816358455
