Measures,Values
Recall@1,0.008174327394690479
NDCG@1,0.044752566907927956
Recall@5,0.028409870972671603
NDCG@5,0.0366358921867724
Recall@10,0.046951137101264584
NDCG@10,0.04179132268705643
Recall@20,0.07597752730865853
NDCG@20,0.05357402674551398
Recall@40,0.11660036733888796
NDCG@40,0.06773119963334565
Recall@50,0.1334034868277091
NDCG@50,0.07292772503254911
Recall@100,0.19638848869733572
NDCG@100,0.09032062316243238
trainingTime,3639.811714410782
testingTime,25.346056938171387
AverageTestTimePerUser,0.0005332868401399467
