Measures,Values
Recall@1,0.011207091736238179
NDCG@1,0.06909227403927051
Recall@5,0.0398021864938159
NDCG@5,0.06023267157558964
Recall@10,0.06394751806595779
NDCG@10,0.06478920135900253
Recall@20,0.09900870837382725
NDCG@20,0.07605831977733658
Recall@40,0.1471259192787677
NDCG@40,0.0918456403949841
Recall@50,0.16496176406887184
NDCG@50,0.09743946350175732
Recall@100,0.2314539605097384
NDCG@100,0.11684667545383612
trainingTime,3672.734377861023
testingTime,41.791749715805054
AverageTestTimePerUser,0.0005409305027997392
