Measures,Values
Recall@1,0.033762196791431734
NDCG@1,0.08746142177119841
Recall@5,0.09641184757636806
NDCG@5,0.08989324340622577
Recall@10,0.14417812302631988
NDCG@10,0.10493632639416452
Recall@20,0.2078767314638291
NDCG@20,0.12395395207101806
Recall@40,0.2887503233984262
NDCG@40,0.14506094408607087
Recall@50,0.31820398256175775
NDCG@50,0.15205081759485006
Recall@100,0.4213908063250445
NDCG@100,0.17429419534192678
trainingTime,2547.9879541397095
testingTime,19.21795129776001
AverageTestTimePerUser,0.0005026403540764767
