Measures,Values
Recall@1,0.007980930160530605
NDCG@1,0.04384783706446726
Recall@5,0.028718380476937703
NDCG@5,0.036674773174982675
Recall@10,0.047204793307629465
NDCG@10,0.04181841243064573
Recall@20,0.07555412470889909
NDCG@20,0.053445359877042554
Recall@40,0.11619459190196706
NDCG@40,0.06754384878765399
Recall@50,0.13282137111109257
NDCG@50,0.07269587236391048
Recall@100,0.1972274971277815
NDCG@100,0.09045942592792339
trainingTime,3720.8249015808105
testingTime,25.527644157409668
AverageTestTimePerUser,0.000537107476801247
