Measures,Values
Recall@1,0.009758879272505986
NDCG@1,0.06036837132243493
Recall@5,0.03445521450990392
NDCG@5,0.05246503325303422
Recall@10,0.05595556429662083
NDCG@10,0.056830347328516856
Recall@20,0.08736062805276197
NDCG@20,0.06693902787832635
Recall@40,0.13087721155220447
NDCG@40,0.0812628006285958
Recall@50,0.14809443263616193
NDCG@50,0.08664397025861478
Recall@100,0.21285587427287636
NDCG@100,0.10542940498765174
trainingTime,5065.123987913132
testingTime,57.026143074035645
AverageTestTimePerUser,0.0007381165051843234
