Measures,Values
Recall@1,0.03144512183205088
NDCG@1,0.08149814301407124
Recall@5,0.08778111424105114
NDCG@5,0.08240402228837201
Recall@10,0.13146087514291419
NDCG@10,0.09590820666078959
Recall@20,0.18915121556945197
NDCG@20,0.11319278988964533
Recall@40,0.265770718839654
NDCG@40,0.13317152975841556
Recall@50,0.29576900722255967
NDCG@50,0.14020293484466173
Recall@100,0.3985440495556487
NDCG@100,0.16232604514113932
trainingTime,4296.699220895767
testingTime,27.119688749313354
AverageTestTimePerUser,0.0007093081746433372
