Measures,Values
Recall@1,0.00657184411042732
NDCG@1,0.03515822252146104
Recall@5,0.02329336416245366
NDCG@5,0.029764384811760074
Recall@10,0.03840170339401063
NDCG@10,0.03394700481735595
Recall@20,0.062358069451030666
NDCG@20,0.043736852189610265
Recall@40,0.09751115998461782
NDCG@40,0.05598443397704777
Recall@50,0.11240481083176601
NDCG@50,0.06057876458819865
Recall@100,0.16954172018562616
NDCG@100,0.07634245069673998
trainingTime,2064.8298585414886
testingTime,35.94141864776611
AverageTestTimePerUser,0.0007562156759755536
